Identifier,Approximate Zip Code,Reading Timestamp,Reading Day,Reading Time String,Concentration
Sensor 62245,94028,12/15/21 07:00:16,Wednesday,Morning,0.8
Sensor 62245,94028,12/15/21 13:00:15,Wednesday,Midday,1.07
Sensor 62245,94028,12/15/21 19:00:19,Wednesday,Evening,0.02
Sensor 62245,94028,12/16/21 01:00:23,Thursday,Night,0.14
Sensor 62245,94028,12/16/21 07:00:27,Thursday,Morning,0.43
Sensor 62245,94028,12/16/21 13:00:31,Thursday,Midday,0.76
Sensor 62245,94028,12/16/21 19:00:35,Thursday,Evening,1.43
Sensor 62245,94028,12/17/21 01:00:39,Friday,Night,3.84
Sensor 62245,94028,12/17/21 07:00:43,Friday,Morning,2.6
Sensor 62245,94028,12/17/21 13:00:47,Friday,Midday,1.29
Sensor 62245,94028,12/17/21 19:00:51,Friday,Evening,2.48
Sensor 62245,94028,12/18/21 00:58:55,Saturday,Night,1.02
Sensor 62245,94028,12/18/21 07:00:58,Saturday,Morning,0.89
Sensor 62245,94028,12/18/21 12:59:06,Saturday,Midday,15.69
Sensor 63533,94040,12/11/21 19:00:22,Saturday,Evening,7.53
Sensor 63533,94040,12/12/21 01:00:25,Sunday,Night,4.31
Sensor 63533,94040,12/12/21 07:00:27,Sunday,Morning,2.09
Sensor 63533,94040,12/12/21 13:00:30,Sunday,Midday,2.78
Sensor 63533,94040,12/12/21 19:00:32,Sunday,Evening,2.42
Sensor 63533,94040,12/13/21 01:00:35,Monday,Night,1.39
Sensor 63533,94040,12/13/21 07:00:37,Monday,Morning,0.0
Sensor 63533,94040,12/13/21 13:00:40,Monday,Midday,0.37
Sensor 63533,94040,12/13/21 19:00:42,Monday,Evening,0.0
Sensor 63533,94040,12/14/21 01:00:45,Tuesday,Night,1.35
Sensor 63533,94040,12/14/21 07:00:47,Tuesday,Morning,0.21
Sensor 63533,94040,12/14/21 13:00:50,Tuesday,Midday,0.38
Sensor 63533,94040,12/14/21 19:00:53,Tuesday,Evening,0.64
Sensor 63533,94040,12/15/21 01:00:55,Wednesday,Night,2.34
